PERMNO,date,PRC,CFACPR
84398,2021-01-04,368.79001,1
84398,2021-01-05,371.32999,1
84398,2021-01-06,373.54999,1
84398,2021-01-07,379.10001,1
84398,2021-01-08,381.26001,1
84398,2021-01-11,378.69000,1
84398,2021-01-12,378.76999,1
84398,2021-01-13,379.79001,1
84398,2021-01-14,378.45999,1
84398,2021-01-15,375.70001,1
84398,2021-01-19,378.64999,1
84398,2021-01-20,383.89001,1
84398,2021-01-21,384.23999,1
84398,2021-01-22,382.88000,1
84398,2021-01-25,384.39001,1
84398,2021-01-26,383.79001,1
84398,2021-01-27,374.41000,1
84398,2021-01-28,377.63000,1
84398,2021-01-29,370.07001,1
84398,2021-02-01,376.23001,1
84398,2021-02-02,381.54999,1
84398,2021-02-03,381.85001,1
84398,2021-02-04,386.19000,1
84398,2021-02-05,387.70999,1
84398,2021-02-08,390.51001,1
84398,2021-02-09,390.25000,1
84398,2021-02-10,390.07999,1
84398,2021-02-11,390.70999,1
84398,2021-02-12,392.64001,1
84398,2021-02-16,392.29999,1
84398,2021-02-17,392.39001,1
84398,2021-02-18,390.72000,1
84398,2021-02-19,390.03000,1
84398,2021-02-22,387.03000,1
84398,2021-02-23,387.50000,1
84398,2021-02-24,391.76999,1
84398,2021-02-25,382.32999,1
84398,2021-02-26,380.35999,1
84398,2021-03-01,389.57999,1
84398,2021-03-02,386.54001,1
84398,2021-03-03,381.42001,1
84398,2021-03-04,376.70001,1
84398,2021-03-05,383.63000,1
84398,2021-03-08,381.72000,1
84398,2021-03-09,387.17001,1
84398,2021-03-10,389.57999,1
84398,2021-03-11,393.53000,1
84398,2021-03-12,394.06000,1
84398,2021-03-15,396.41000,1
84398,2021-03-16,395.91000,1
84398,2021-03-17,397.26001,1
84398,2021-03-18,391.48001,1
84398,2021-03-19,389.48001,1
84398,2021-03-22,392.59000,1
84398,2021-03-23,389.50000,1
84398,2021-03-24,387.51999,1
84398,2021-03-25,389.70001,1
84398,2021-03-26,395.98001,1
84398,2021-03-29,395.78000,1
84398,2021-03-30,394.73001,1
84398,2021-03-31,396.32999,1
84398,2021-04-01,400.60999,1
84398,2021-04-05,406.35999,1
84398,2021-04-06,406.12000,1
84398,2021-04-07,406.59000,1
84398,2021-04-08,408.51999,1
84398,2021-04-09,411.48999,1
84398,2021-04-12,411.64001,1
84398,2021-04-13,412.85999,1
84398,2021-04-14,411.45001,1
84398,2021-04-15,415.87000,1
84398,2021-04-16,417.26001,1
84398,2021-04-19,415.20999,1
84398,2021-04-20,412.17001,1
84398,2021-04-21,416.07001,1
84398,2021-04-22,412.26999,1
84398,2021-04-23,416.73999,1
84398,2021-04-26,417.60999,1
84398,2021-04-27,417.51999,1
84398,2021-04-28,417.39999,1
84398,2021-04-29,420.06000,1
84398,2021-04-30,417.29999,1
84398,2021-05-03,418.20001,1
84398,2021-05-04,415.62000,1
84398,2021-05-05,415.75000,1
84398,2021-05-06,419.07001,1
84398,2021-05-07,422.12000,1
84398,2021-05-10,417.94000,1
84398,2021-05-11,414.20999,1
84398,2021-05-12,405.41000,1
84398,2021-05-13,410.28000,1
84398,2021-05-14,416.57999,1
84398,2021-05-17,415.51999,1
84398,2021-05-18,411.94000,1
84398,2021-05-19,410.85999,1
84398,2021-05-20,415.28000,1
84398,2021-05-21,414.94000,1
84398,2021-05-24,419.17001,1
84398,2021-05-25,418.23999,1
84398,2021-05-26,419.07001,1
84398,2021-05-27,419.29001,1
84398,2021-05-28,420.04001,1
84398,2021-06-01,419.67001,1
84398,2021-06-02,420.32999,1
84398,2021-06-03,418.76999,1
84398,2021-06-04,422.60001,1
84398,2021-06-07,422.19000,1
84398,2021-06-08,422.28000,1
84398,2021-06-09,421.64999,1
84398,2021-06-10,423.60999,1
84398,2021-06-11,424.31000,1
84398,2021-06-14,425.26001,1
84398,2021-06-15,424.48001,1
84398,2021-06-16,422.10999,1
84398,2021-06-17,421.97000,1
84398,2021-06-18,414.92001,1
84398,2021-06-21,420.85999,1
84398,2021-06-22,423.10999,1
84398,2021-06-23,422.60001,1
84398,2021-06-24,425.10001,1
84398,2021-06-25,426.60999,1
84398,2021-06-28,427.47000,1
84398,2021-06-29,427.70001,1
84398,2021-06-30,428.06000,1
84398,2021-07-01,430.42999,1
84398,2021-07-02,433.72000,1
84398,2021-07-06,432.92999,1
84398,2021-07-07,434.45999,1
84398,2021-07-08,430.92001,1
84398,2021-07-09,435.51999,1
84398,2021-07-12,437.07999,1
84398,2021-07-13,435.59000,1
84398,2021-07-14,436.23999,1
84398,2021-07-15,434.75000,1
84398,2021-07-16,431.34000,1
84398,2021-07-19,424.97000,1
84398,2021-07-20,431.06000,1
84398,2021-07-21,434.54999,1
84398,2021-07-22,435.45999,1
84398,2021-07-23,439.94000,1
84398,2021-07-26,441.01999,1
84398,2021-07-27,439.01001,1
84398,2021-07-28,438.82999,1
84398,2021-07-29,440.64999,1
84398,2021-07-30,438.51001,1
84398,2021-08-02,437.59000,1
84398,2021-08-03,441.14999,1
84398,2021-08-04,438.98001,1
84398,2021-08-05,441.76001,1
84398,2021-08-06,442.48999,1
84398,2021-08-09,442.13000,1
84398,2021-08-10,442.67999,1
84398,2021-08-11,443.78000,1
84398,2021-08-12,445.10999,1
84398,2021-08-13,445.92001,1
84398,2021-08-16,446.97000,1
84398,2021-08-17,444.04001,1
84398,2021-08-18,439.17999,1
84398,2021-08-19,439.85999,1
84398,2021-08-20,443.35999,1
84398,2021-08-23,447.26001,1
84398,2021-08-24,447.97000,1
84398,2021-08-25,448.91000,1
84398,2021-08-26,446.26001,1
84398,2021-08-27,450.25000,1
84398,2021-08-30,452.23001,1
84398,2021-08-31,451.56000,1
84398,2021-09-01,451.79999,1
84398,2021-09-02,453.19000,1
84398,2021-09-03,453.07999,1
84398,2021-09-07,451.45999,1
84398,2021-09-08,450.91000,1
84398,2021-09-09,448.98001,1
84398,2021-09-10,445.44000,1
84398,2021-09-13,446.57999,1
84398,2021-09-14,444.17001,1
84398,2021-09-15,447.88000,1
84398,2021-09-16,447.17001,1
84398,2021-09-17,441.39999,1
84398,2021-09-20,434.04001,1
84398,2021-09-21,433.63000,1
84398,2021-09-22,437.85999,1
84398,2021-09-23,443.17999,1
84398,2021-09-24,443.91000,1
84398,2021-09-27,442.64001,1
84398,2021-09-28,433.72000,1
84398,2021-09-29,434.45001,1
84398,2021-09-30,429.14001,1
84398,2021-10-01,434.23999,1
84398,2021-10-04,428.64001,1
84398,2021-10-05,433.10001,1
84398,2021-10-06,434.89999,1
84398,2021-10-07,438.66000,1
84398,2021-10-08,437.85999,1
84398,2021-10-11,434.69000,1
84398,2021-10-12,433.62000,1
84398,2021-10-13,435.17999,1
84398,2021-10-14,442.50000,1
84398,2021-10-15,445.87000,1
84398,2021-10-18,447.19000,1
84398,2021-10-19,450.64001,1
84398,2021-10-20,452.41000,1
84398,2021-10-21,453.59000,1
84398,2021-10-22,453.12000,1
84398,2021-10-25,455.54999,1
84398,2021-10-26,455.95999,1
84398,2021-10-27,453.94000,1
84398,2021-10-28,458.32001,1
84398,2021-10-29,459.25000,1
84398,2021-11-01,460.04001,1
84398,2021-11-02,461.89999,1
84398,2021-11-03,464.72000,1
84398,2021-11-04,466.91000,1
84398,2021-11-05,468.53000,1
84398,2021-11-08,468.92999,1
84398,2021-11-09,467.38000,1
84398,2021-11-10,463.62000,1
84398,2021-11-11,463.76999,1
84398,2021-11-12,467.26999,1
84398,2021-11-15,467.42999,1
84398,2021-11-16,469.28000,1
84398,2021-11-17,468.14001,1
84398,2021-11-18,469.73001,1
84398,2021-11-19,468.89001,1
84398,2021-11-22,467.57001,1
84398,2021-11-23,468.19000,1
84398,2021-11-24,469.44000,1
84398,2021-11-26,458.97000,1
84398,2021-11-29,464.60001,1
84398,2021-11-30,455.56000,1
84398,2021-12-01,450.50000,1
84398,2021-12-02,457.39999,1
84398,2021-12-03,453.42001,1
84398,2021-12-06,458.79001,1
84398,2021-12-07,468.28000,1
84398,2021-12-08,469.51999,1
84398,2021-12-09,466.35001,1
84398,2021-12-10,470.73999,1
84398,2021-12-13,466.57001,1
84398,2021-12-14,463.35999,1
84398,2021-12-15,470.60001,1
84398,2021-12-16,466.45001,1
84398,2021-12-17,459.87000,1
84398,2021-12-20,454.98001,1
84398,2021-12-21,463.06000,1
84398,2021-12-22,467.69000,1
84398,2021-12-23,470.60001,1
84398,2021-12-27,477.26001,1
84398,2021-12-28,476.87000,1
84398,2021-12-29,477.48001,1
84398,2021-12-30,476.16000,1
84398,2021-12-31,474.95999,1
84398,2022-01-03,477.70999,1
