alpha,beta,discount,seed,converged,convergence_iter,best_action_idx,w1,w2,w3,avg_train_w1,avg_train_w2,avg_train_w3,distance_to_grid_benchmark,distance_to_continuous_benchmark,distance_avg_training_to_grid,distance_avg_training_to_continuous,learned_mean,learned_variance,learned_utility,grid_benchmark_utility,utility_gap_to_grid,utility_gap_to_continuous,utility_gap_avg_training_to_grid,utility_gap_avg_training_to_continuous,grid_w1,grid_w2,grid_w3
0.005,0.0001,0.9,42,True,25793,256,1.0,-0.4,0.4,0.9488000000000004,-0.3417999999999882,0.39299999999998725,0.14142135623730948,0.15437911567065554,0.19773133287369105,0.2036561903835126,0.0007436271496786142,0.00012773942514780697,0.0005520180119569037,0.000596518511394103,4.450049943719933e-05,4.456509841332544e-05,7.031427999584523e-05,7.037887897197133e-05,1.0,-0.5,0.5
0.005,0.0001,0.9,123,True,22742,246,0.9,-0.2,0.3,0.8376000000000225,-0.13619999999999555,0.2986000000000002,0.3741657386773941,0.3792530966983047,0.44641478470139834,0.4484544438291819,0.0006104414377545498,0.00010040177384806835,0.0004598387769824473,0.000596518511394103,0.00013667973441165574,0.00013674433338778185,0.0001676842066956836,0.0001677488056718097,1.0,-0.5,0.5
0.005,0.0001,0.9,1024,True,23766,237,0.8,0.2,-0.0,0.7492499999999758,0.21894999999999312,0.03180000000000001,0.8831760866327847,0.8890531362689805,0.8938545211610233,0.8981505604680431,0.0003633158915626772,7.223316281168704e-05,0.00025496614734514663,0.000596518511394103,0.0003415523640489564,0.0003416169630250825,0.00035132274687260244,0.00035138734584872855,1.0,-0.5,0.5
0.005,0.0001,0.95,42,True,25793,188,0.5,-0.2,0.7,0.4890499999999998,-0.1578999999999947,0.6688500000000228,0.6164414002968976,0.5979152451120694,0.6376618500428041,0.6203064683530529,0.0005334579271295256,7.254389730220347e-05,0.0004246420811762204,0.000596518511394103,0.00017187643021788265,0.00017194102919400875,0.00019165654997083863,0.00019172114894696474,1.0,-0.5,0.5
0.005,0.0001,0.95,123,True,22742,243,0.9,-0.5,0.6,0.8376000000000225,-0.40169999999999983,0.5641000000000056,0.14142135623730948,0.1181484647533276,0.20036331999643406,0.1822973655764031,0.0007813511891562622,0.00012428863563823984,0.0005949182356989024,0.000596518511394103,1.6002756952006487e-06,1.6648746713267574e-06,4.6226668343963087e-05,4.6291267320089195e-05,1.0,-0.5,0.5
0.005,0.0001,0.95,1024,True,23766,301,1.5,-0.4,-0.1,1.3764500000000006,-0.31864999999998955,-0.057799999999998165,0.7874007874011811,0.810398513157285,0.696952842737586,0.719050562965522,0.0008398565379598944,0.0002395187151667647,0.0004805784652097474,0.000596518511394103,0.00011594004618435563,0.00011600464516048174,0.00012977086153133577,0.00012983546050746188,1.0,-0.5,0.5
0.005,0.0001,0.99,42,True,25793,171,0.4,-0.2,0.8,0.3970999999999868,-0.1578999999999947,0.7607999999999749,0.7348469228349535,0.7147867322376439,0.7406331480564494,0.7215623802765843,0.0005142120494732696,7.353065329475923e-05,0.00040391606953113073,0.000596518511394103,0.00019260244186297231,0.00019266704083909842,0.00021040781926640452,0.00021047241824253063,1.0,-0.5,0.5
0.005,0.0001,0.99,123,True,22742,230,0.8,-0.5,0.7,0.7490999999999756,-0.40169999999999983,0.6526000000000218,0.28284271247461895,0.2595698209906371,0.3096779940519167,0.28837780260177076,0.0007621053115000061,0.0001157053910491449,0.0005885472249262888,0.000596518511394103,7.971286467814268e-06,8.035885443940377e-06,5.2885801317944093e-05,5.29504002940702e-05,1.0,-0.5,0.5
0.005,0.0001,0.99,1024,True,23766,305,1.5,-0.0,-0.5,1.3764500000000006,0.03974999999999999,-0.4162,1.224744871391589,1.244954170094808,1.128036836721213,1.146975812088912,0.000611976869424278,0.00024129310956752406,0.0002500372050729919,0.000596518511394103,0.00034648130632111115,0.00034654590529723726,0.00033391884454590527,0.0003339834435220314,1.0,-0.5,0.5
0.005,0.0005,0.9,42,True,4884,150,0.3,-0.5,1.2,0.30779999999999924,-0.38065000000000004,1.0728500000000196,0.9899494936611665,0.9666766021771847,0.9063897533622186,0.8834294684858376,0.0006658759232187258,0.00012049651887780211,0.0004851311449020226,0.000596518511394103,0.00011138736649208045,0.00011145196546820656,0.0001491925467536844,0.00014925714572981051,1.0,-0.5,0.5
0.005,0.0005,0.9,123,True,4546,224,0.7,0.3,0.0,0.63385000000002,0.31149999999999856,0.05465,0.9899494936611666,0.9935412398247404,0.9954570282036203,0.9970371203264069,0.000287100096772517,5.7820108592502366e-05,0.00020036993388376347,0.000596518511394103,0.0003961485775103396,0.0003962131764864657,0.0004040812734790091,0.0004041458724551352,1.0,-0.5,0.5
0.005,0.0005,0.9,1024,True,5554,152,0.3,-0.3,1.0,0.30649999999999933,-0.1698000000000039,0.8633000000000001,0.8831760866327847,0.8608404154959757,0.8496829879431496,0.8292891651670564,0.0005519360889509175,9.056279477587564e-05,0.00041609189678710405,0.000596518511394103,0.000180426614606999,0.0001804912135831251,0.00022811823400181177,0.00022818283297793788,1.0,-0.5,0.5
0.005,0.0005,0.95,42,True,4884,288,1.3,-0.2,-0.1,1.162299999999995,-0.12429999999999662,-0.03800000000000003,0.7348469228349535,0.755091505960093,0.6759702508246949,0.693200020535384,0.000687424948379574,0.00017914749121967382,0.0004187037115500633,0.000596518511394103,0.00017781479984403973,0.00017787939882016584,0.00019524179468890309,0.0001953063936650292,1.0,-0.5,0.5
0.005,0.0005,0.95,123,True,4546,278,1.2,-0.3,0.1,1.044850000000023,-0.18210000000000476,0.1372499999999986,0.48989794855663565,0.5101855846075973,0.484416654337978,0.49861447588453467,0.0007251489878572221,0.00015809934336195771,0.00048799997281428554,0.000596518511394103,0.00010851853857981751,0.00010858313755594362,0.00015182623076897818,0.0001518908297451043,1.0,-0.5,0.5
0.005,0.0005,0.95,1024,True,5554,91,-0.0,-0.4,1.4,0.17850000000000005,-0.30629999999999064,1.1278000000000326,1.349073756323204,1.3258986514099351,1.051910062695497,1.0292501300681953,0.0005511683731160535,0.00014271759898055035,0.00033709197464522794,0.000596518511394103,0.0002594265367488751,0.0002594911357250012,0.00021755718261643538,0.0002176217815925615,1.0,-0.5,0.5
0.005,0.0005,0.99,42,True,4884,173,0.4,-0.0,0.6,0.3932499999999878,0.0466,0.5601500000000058,0.7874007874011811,0.7729829495774316,0.8188621037757307,0.805684305606609,0.0004002722152054612,5.410610206540116e-05,0.0003191130621073595,0.000596518511394103,0.00027740544928674354,0.00027747004826286965,0.00029968085049571387,0.00029974544947184,1.0,-0.5,0.5
0.005,0.0005,0.99,123,True,4546,303,1.5,-0.2,-0.3,1.29205,-0.09969999999999805,-0.19235000000000507,0.9899494936611666,1.0115969147254231,0.8513999148461365,0.8705302068081675,0.0007259167036920862,0.00023760329021512924,0.00036951176836939236,0.000596518511394103,0.0002270067430247107,0.0002270713420008368,0.00023183220753551065,0.00023189680651163676,1.0,-0.5,0.5
0.005,0.0005,0.99,1024,True,5554,257,1.0,-0.3,0.3,0.928,-0.23135000000000683,0.3033499999999998,0.28284271247461906,0.29516807963003405,0.3406288963079856,0.3473791269362437,0.00068665723254471,0.00012082779109267795,0.000505415545905693,0.000596518511394103,9.110296548841006e-05,9.116756446453616e-05,0.00012193529042368894,0.00012199988939981505,1.0,-0.5,0.5
