alpha,beta,discount,seed,converged,convergence_iter,best_action_idx,w1,w2,w3,avg_train_w1,avg_train_w2,avg_train_w3,distance_to_grid_benchmark,distance_to_continuous_benchmark,distance_avg_training_to_grid,distance_avg_training_to_continuous,learned_mean,learned_variance,learned_utility,grid_benchmark_utility,utility_gap_to_grid,utility_gap_to_continuous,utility_gap_avg_training_to_grid,utility_gap_avg_training_to_continuous,grid_w1,grid_w2,grid_w3
0.005,0.0005,0.9,42,True,5286,31,0.3,0.1,0.6,0.31069999999999937,0.12214999999999636,0.5671500000000037,0.648074069840786,0.6736057100939008,0.6238062479648648,0.6490598484327482,0.000324056420415301,4.751107948411353e-05,0.0002527898011891307,0.0003607848597241012,0.00010799505853497049,0.00010807557190053085,0.00011560781177079072,0.00011568832513635108,0.8,0.0,0.2
0.005,0.0005,0.9,123,True,4546,46,0.5,0.1,0.4,0.46369999999999906,0.24550000000001085,0.2907999999999914,0.37416573867739417,0.3988070412224065,0.42616027501399567,0.44495055810583817,0.0003625481757278132,4.8660996696962226e-05,0.00028955668068236985,0.0003607848597241012,7.122817904173137e-05,7.130869240729173e-05,0.00014798045026436532,0.00014806096362992568,0.8,0.0,0.2
0.005,0.0005,0.9,1024,True,5163,21,0.2,0.0,0.8,0.2162499999999932,0.0432,0.7405499999999757,0.8485281374238571,0.8745100628797886,0.7967588123139786,0.822685197953821,0.0003617804598929491,6.141847137229305e-05,0.0002696527528345095,0.0003607848597241012,9.11321068895917e-05,9.121262025515206e-05,0.00010457182603706506,0.00010465233940262542,0.8,0.0,0.2
0.005,0.001,0.9,42,True,2760,40,0.4,0.2,0.4,0.3878999999999877,0.223249999999993,0.3888499999999877,0.48989794855663565,0.5125636109442464,0.5053031713733869,0.5273401720483617,0.000286332380937653,4.028679514007339e-05,0.0002259021882275429,0.0003607848597241012,0.00013488267149655832,0.00013496318486211868,0.00014828824560534243,0.0001483687589709028,0.8,0.0,0.2
0.005,0.001,0.9,123,True,2820,33,0.3,0.3,0.4,0.26895000000000413,0.4277000000000058,0.3033500000000073,0.6164414002968976,0.637491846535969,0.6896539820808708,0.7068295859447773,0.00021011658614749279,3.4393088294277916e-05,0.0001585269537060759,0.0003607848597241012,0.00020225790601802532,0.00020233841938358568,0.00027265858676797015,0.0002727391001335305,0.8,0.0,0.2
0.005,0.001,0.9,1024,True,2887,40,0.4,0.2,0.4,0.25749999999999296,0.1027499999999982,0.6397500000000054,0.48989794855663565,0.5125636109442464,0.7058639210216173,0.7314442705771782,0.000286332380937653,4.028679514007339e-05,0.0002259021882275429,0.0003607848597241012,0.00013488267149655832,0.00013496318486211868,0.00011948712545994006,0.00011956763882550042,0.8,0.0,0.2
0.005,0.002,0.9,42,True,1504,34,0.3,0.4,0.3,0.1931515957446819,0.30365691489362184,0.5031914893616934,0.6480740698407861,0.6653731699311335,0.7432345436881282,0.7658401565383541,0.00015314666901358864,2.9936059313371454e-05,0.00010824258004353146,0.0003607848597241012,0.00025254227968056974,0.0002526227930461301,0.00022809347760153982,0.00022817399096710018,0.8,0.0,0.2
0.005,0.002,0.9,123,True,1640,40,0.4,0.2,0.4,0.3798170731707267,0.28457317073170524,0.33560975609755506,0.48989794855663565,0.5125636109442464,0.5252861957523243,0.5449978802121437,0.000286332380937653,4.028679514007339e-05,0.0002259021882275429,0.0003607848597241012,0.00013488267149655832,0.00013496318486211868,0.000180048191656153,0.00018012870502171337,0.8,0.0,0.2
0.005,0.002,0.9,1024,True,1217,48,0.5,0.3,0.2,0.422760887428102,0.31552999178307906,0.2617091207888187,0.42426406871192857,0.43783359608109257,0.4956576836458728,0.5123283223676776,0.0002486083414600049,3.9745618340172576e-05,0.00018898991394974605,0.0003607848597241012,0.00017179494577435517,0.00017187545913991553,0.0001892695600476281,0.00018935007341318847,0.8,0.0,0.2
0.01,0.0005,0.9,42,True,5286,11,0.1,0.0,0.9,0.2943500000000001,0.11744999999999972,0.5881999999999951,0.9899494936611666,1.015931419117098,0.6482095841624035,0.6735683648481887,0.0003425345822366931,6.984539110315216e-05,0.00023776649558196483,0.0003607848597241012,0.0001230183641421364,0.00012309887750769675,0.00011718498909628477,0.00011726550246184513,0.8,0.0,0.2
0.01,0.0005,0.9,123,True,4546,46,0.5,0.1,0.4,0.4924500000000058,0.17800000000000754,0.32954999999998996,0.37416573867739417,0.3988070412224065,0.37822507188180493,0.3997374939535346,0.0003625481757278132,4.8660996696962226e-05,0.00028955668068236985,0.0003607848597241012,7.122817904173137e-05,7.130869240729173e-05,0.00011039764929519615,0.00011047816266075651,0.8,0.0,0.2
0.01,0.0005,0.9,1024,True,5163,21,0.2,0.0,0.8,0.2857000000000012,0.08459999999999981,0.6296999999999813,0.8485281374238571,0.8745100628797886,0.6755025832666983,0.7011883686219912,0.0003617804598929491,6.141847137229305e-05,0.0002696527528345095,0.0003607848597241012,9.11321068895917e-05,9.121262025515206e-05,0.00010447997886550844,0.0001045604922310688,0.8,0.0,0.2
0.01,0.001,0.9,42,True,2760,40,0.4,0.2,0.4,0.38749999999998774,0.22314999999999302,0.3893499999999877,0.48989794855663565,0.5125636109442464,0.5057722758317249,0.5278210176264455,0.000286332380937653,4.028679514007339e-05,0.0002259021882275429,0.0003607848597241012,0.00013488267149655832,0.00013496318486211868,0.0001483073589231801,0.00014838787228874047,0.8,0.0,0.2
0.01,0.001,0.9,123,True,2820,11,0.1,0.0,0.9,0.27205000000000407,0.24205000000000418,0.485900000000002,0.9899494936611666,1.015931419117098,0.6473470591576043,0.6705500524314036,0.0003425345822366931,6.984539110315216e-05,0.00023776649558196483,0.0003607848597241012,0.0001230183641421364,0.00012309887750769675,0.00018011232428475797,0.00018019283765031833,0.8,0.0,0.2
0.01,0.001,0.9,1024,True,2887,3,0.0,0.3,0.7,0.23664999999999536,0.1762499999999998,0.5871000000000189,0.9899494936611666,1.0141214173922404,0.7058850437571402,0.7306655062578612,0.00015237895317872459,5.02179686125018e-05,7.705200025997189e-05,0.0003607848597241012,0.00028373285946412934,0.0002838133728296897,0.00015780527147827225,0.0001578857848438326,0.8,0.0,0.2
0.01,0.002,0.9,42,True,1504,63,0.9,0.0,0.1,0.5560505319148871,0.11855053191489333,0.3253989361702193,0.1414213562373095,0.11543943078137792,0.29881510134017064,0.32177144033113303,0.0004965016034867416,9.148375470132524e-05,0.00035927597143475376,0.0003607848597241012,1.50888828934746e-06,1.589401654907821e-06,7.348552852516957e-05,7.356604189072993e-05,0.8,0.0,0.2
0.01,0.002,0.9,123,True,1640,30,0.3,0.0,0.7,0.3718292682926786,0.24091463414634248,0.3872560975609766,0.7071067811865475,0.733088706642479,0.5257707509080504,0.547469799218103,0.0003810263375492052,5.61720416930427e-05,0.00029676827500964113,0.0003607848597241012,6.401658471446008e-05,6.409709808002044e-05,0.00015972950101771587,0.00015981001438327623,0.8,0.0,0.2
0.01,0.002,0.9,1024,True,1217,48,0.5,0.3,0.2,0.422760887428102,0.31552999178307906,0.2617091207888187,0.42426406871192857,0.43783359608109257,0.4956576836458728,0.5123283223676776,0.0002486083414600049,3.9745618340172576e-05,0.00018898991394974605,0.0003607848597241012,0.00017179494577435517,0.00017187545913991553,0.0001892695600476281,0.00018935007341318847,0.8,0.0,0.2
0.02,0.0005,0.9,42,True,4104,40,0.4,0.2,0.4,0.3250499999999957,0.17269999999999489,0.5022499999999938,0.48989794855663565,0.5125636109442464,0.588861490505194,0.613180516269514,0.000286332380937653,4.028679514007339e-05,0.0002259021882275429,0.0003607848597241012,0.00013488267149655832,0.00013496318486211868,0.00013592351783848393,0.0001360040312040443,0.8,0.0,0.2
0.02,0.0005,0.9,123,True,4546,39,0.4,0.1,0.5,0.4048499999999929,0.22730000000001271,0.367849999999996,0.5099019513592785,0.5351596531875691,0.4857802332331052,0.5072912009724102,0.0003433022980715571,4.649579306473349e-05,0.0002735586084744569,0.0003607848597241012,8.722625124964433e-05,8.73067646152047e-05,0.00014746943733636217,0.00014754995070192253,0.8,0.0,0.2
0.02,0.0005,0.9,1024,True,6459,64,0.9,0.1,0.0,0.40494999999999803,0.1422500000000014,0.4528000000000104,0.24494897427831783,0.22282698006187238,0.4901095846849021,0.5144774633068134,0.0004395316863528374,8.912671174196502e-05,0.0003058416187398899,0.0003607848597241012,5.4943240984211324e-05,5.5023754349771685e-05,0.00010623347957285643,0.00010631399293841679,0.8,0.0,0.2
0.02,0.001,0.9,42,True,2760,27,0.2,0.6,0.2,0.37884999999999036,0.23869999999999442,0.3824499999999904,0.8485281374238571,0.8618128887781876,0.5173325961120195,0.5389682259958278,1.996095708952433e-05,2.4168445009262624e-05,-1.6291710424369604e-05,0.0003607848597241012,0.0003770765701484708,0.0003771570835140312,0.0001574223272883742,0.00015750284065393455,0.8,0.0,0.2
0.02,0.001,0.9,123,True,2939,33,0.3,0.3,0.4,0.45045000000000507,0.22530000000000025,0.32424999999999377,0.6164414002968976,0.637491846535969,0.4340315138328035,0.4543871901308714,0.00021011658614749279,3.4393088294277916e-05,0.0001585269537060759,0.0003607848597241012,0.00020225790601802532,0.00020233841938358568,0.00013960183349095756,0.00013968234685651792,0.8,0.0,0.2
0.02,0.001,0.9,1024,True,2887,46,0.5,0.1,0.4,0.4401499999999978,0.21875000000000328,0.34109999999999435,0.37416573867739417,0.3988070412224065,0.44413150642574484,0.46511800429607125,0.0003625481757278132,4.8660996696962226e-05,0.00028955668068236985,0.0003607848597241012,7.122817904173137e-05,7.130869240729173e-05,0.0001378072314757839,0.00013788774484134426,0.8,0.0,0.2
0.02,0.002,0.9,42,True,1504,34,0.3,0.4,0.3,0.419813829787232,0.27938829787233893,0.3007978723404261,0.6480740698407861,0.6653731699311335,0.4824516100889409,0.5011066653217893,0.00015314666901358864,2.9936059313371454e-05,0.00010824258004353146,0.0003607848597241012,0.00025254227968056974,0.0002526227930461301,0.00017122437711994176,0.00017130489048550212,0.8,0.0,0.2
0.02,0.002,0.9,123,True,1640,41,0.4,0.3,0.3,0.38957317073170106,0.2801219512195142,0.33030487804877423,0.5099019513592785,0.5282490474469124,0.5137098899004799,0.5333306222332647,0.00022936246380374884,3.547910829142085e-05,0.00017614380136661757,0.0003607848597241012,0.00018464105835748365,0.000184721571723044,0.00017622943358932197,0.00017630994695488233,0.8,0.0,0.2
0.02,0.002,0.9,1024,True,1217,54,0.6,0.3,0.1,0.3275267050123271,0.4076417419885018,0.26483155299918754,0.37416573867739417,0.37993349363544177,0.6273802153018657,0.6434467496947706,0.000267854219116261,4.719261844053308e-05,0.00019706529145546137,0.0003607848597241012,0.00016371956826863985,0.0001638000816342002,0.0002516130920887596,0.00025169360545431997,0.8,0.0,0.2
0.05,0.0005,0.9,42,True,5286,25,0.2,0.4,0.4,0.3292000000000059,0.21889999999999696,0.4518999999999987,0.7483314773547883,0.7681603045819758,0.5770818486142087,0.6002111320224081,0.00013390079135733258,3.0979876159575816e-05,8.743097711796886e-05,0.0003607848597241012,0.00027335388260613233,0.00027343439597169274,0.00015701040843965505,0.0001570909218052154,0.8,0.0,0.2
0.05,0.0005,0.9,123,True,4546,59,0.7,0.3,0.0,0.3730500000000021,0.3146499999999906,0.31229999999999414,0.37416573867739417,0.37013600380773987,0.5421274896184393,0.5607062268151636,0.000287100096772517,5.7820108592502366e-05,0.00020036993388376347,0.0003607848597241012,0.00016041492584033774,0.0001604954392058981,0.00019632309884611877,0.00019640361221167913,0.8,0.0,0.2
0.05,0.0005,0.9,1024,True,4728,63,0.9,0.0,0.1,0.46925000000000555,0.15969999999999954,0.37104999999999994,0.1414213562373095,0.11543943078137792,0.40516386191267867,0.42810156541760935,0.0004965016034867416,9.148375470132524e-05,0.00035927597143475376,0.0003607848597241012,1.50888828934746e-06,1.589401654907821e-06,0.00010448920841342273,0.00010456972177898309,0.8,0.0,0.2
0.05,0.001,0.9,42,True,2760,48,0.5,0.3,0.2,0.33994999999999864,0.3416499999999956,0.318400000000002,0.42426406871192857,0.43783359608109257,0.5851403976824697,0.6035883591078232,0.0002486083414600049,3.9745618340172576e-05,0.00018898991394974605,0.0003607848597241012,0.00017179494577435517,0.00017187545913991553,0.00021559797986245313,0.0002156784932280135,0.8,0.0,0.2
0.05,0.001,0.9,123,True,2820,11,0.1,0.0,0.9,0.31170000000000475,0.18245000000000197,0.5058499999999964,0.9899494936611666,1.015931419117098,0.6043749788004082,0.6285892269089829,0.0003425345822366931,6.984539110315216e-05,0.00023776649558196483,0.0003607848597241012,0.0001230183641421364,0.00012309887750769675,0.00014331194874985274,0.0001433924621154131,0.8,0.0,0.2
