alpha,beta,discount,seed,converged,convergence_iter,best_action_idx,w1,w2,w3,avg_train_w1,avg_train_w2,avg_train_w3,distance_to_grid_benchmark,distance_to_continuous_benchmark,distance_avg_training_to_grid,distance_avg_training_to_continuous,learned_mean,learned_variance,learned_utility,grid_benchmark_utility,utility_gap_to_grid,utility_gap_to_continuous,utility_gap_avg_training_to_grid,utility_gap_avg_training_to_continuous,grid_w1,grid_w2,grid_w3
0.005,0.0005,0.9,42,True,4884,2446,1.4,-2.7,2.3,1.2531000000000405,-2.2721499999999266,2.019050000000063,0.7071067811865476,0.7212769557166191,1.1654690622234674,1.1944134628095497,0.002130918754383433,0.0006598712221457546,0.0011411119211648013,0.001186171113286717,4.505919212191567e-05,4.527977405187171e-05,9.630498400786886e-05,9.65255659378249e-05,1.9,-3.2,2.3
0.005,0.0005,0.9,123,True,4546,3129,2.5,-2.6,1.1,2.117500000000001,-1.9778499999999513,0.8603499999999786,1.4696938456699067,1.525386878083798,1.900933716624591,1.95706357026154,0.002285653491468346,0.0008614861417917995,0.0009934242787806467,0.001186171113286717,0.0001927468345060703,0.00019296741643602634,0.00022345988948723155,0.0002236804714171876,1.9,-3.2,2.3
0.005,0.0005,0.9,1024,True,5999,1829,0.5,-2.1,2.6,0.2619499999999992,-1.0362499999999841,1.7742999999999882,1.8055470085267789,1.8068892245597663,2.764305040150252,2.789427681409181,0.0016158863526737042,0.0005166762826876471,0.0008408719286422335,0.001186171113286717,0.0003452991846444835,0.00034551976657443953,0.0005733919412818384,0.0005736125232117945,1.9,-3.2,2.3
0.005,0.001,0.9,42,True,2760,1959,0.7,-2.6,2.9,0.5708000000000166,-1.9449499999999518,2.374150000000003,1.469693845669907,1.4532921112877972,1.8295959567620599,1.8396973633111755,0.0019392276936557368,0.0006747684949437497,0.0009270749512401122,0.001186171113286717,0.00025909616204660476,0.0002593167439765608,0.00031957138538362014,0.0003197919673135762,1.9,-3.2,2.3
0.005,0.001,0.9,123,True,2820,2038,0.8,-1.6,1.8,0.7164999999999927,0.0012499999999989882,0.2822499999999864,2.004993765576342,2.03403327647063,3.9648441173645232,4.00908902476584,0.0013887743999729516,0.0003227486890898997,0.000904651366338102,0.001186171113286717,0.000281519746948615,0.000281740328878571,0.0008284000589145532,0.0008286206408445093,1.9,-3.2,2.3
0.005,0.001,0.9,1024,True,2887,2878,2.0,1.8,-2.8,2.534500000000054,-1.7495999999999348,0.2150999999999923,7.142828571371428,7.197338840493015,2.617834681564191,2.6747613754609354,-0.00031725225070471607,0.0008336008716383818,-0.001567653558162289,0.001186171113286717,0.002753824671449006,0.002754045253378962,0.0004823500173553013,0.00048257059928525736,1.9,-3.2,2.3
0.005,0.002,0.9,42,True,1504,3592,3.4,-3.1,0.7,1.0761968085106455,-1.0470744680850996,0.970877659574482,2.195449840010015,2.239983751266181,2.660884484545939,2.7046837407948012,0.002743715976044171,0.001424918176271504,0.0006063387116369153,0.001186171113286717,0.0005798324016498017,0.0005800529835797577,0.0003788199464543028,0.00037904052838425885,1.9,-3.2,2.3
0.005,0.002,0.9,123,True,1640,2575,1.6,-3.1,2.5,1.58743902439023,-1.3060365853658435,0.7185975609756099,0.3741657386773941,0.3503998271084307,2.487091766219955,2.5380951343311624,0.002397290178231562,0.0008175199298063653,0.0011710102835220141,0.001186171113286717,1.5160829764702868e-05,1.5381411694658908e-05,0.00032002053543485223,0.0003202411173648083,1.9,-3.2,2.3
0.005,0.002,0.9,1024,True,1217,1332,-0.3,-1.8,3.1,0.04272801972062121,-0.9387838948233247,1.8960558751026857,2.727636339397171,2.719447809339023,2.9539343830018154,2.9755739893584825,0.001291009580021943,0.0006443500307929376,0.00032448453383253676,0.001186171113286717,0.0008616865794541802,0.0008619071613841363,0.0006965069689304439,0.0006967275508603999,1.9,-3.2,2.3
0.01,0.0005,0.9,42,True,4884,2575,1.6,-3.1,2.5,1.423999999999955,-2.6139500000000244,2.18995,0.3741657386773941,0.3503998271084307,0.7629820476262952,0.7864077005573722,0.002397290178231562,0.0008175199298063653,0.0011710102835220141,0.001186171113286717,1.5160829764702868e-05,1.5381411694658908e-05,4.576792748701053e-05,4.598850941696657e-05,1.9,-3.2,2.3
0.01,0.0005,0.9,123,True,4546,3129,2.5,-2.6,1.1,2.121450000000001,-2.0687499999999512,0.9472999999999716,1.4696938456699067,1.525386878083798,1.7772349183493408,1.833479965825393,0.002285653491468346,0.0008614861417917995,0.0009934242787806467,0.001186171113286717,0.0001927468345060703,0.00019296741643602634,0.00019822489245136833,0.00019844547438132437,1.9,-3.2,2.3
0.01,0.0005,0.9,1024,True,5554,2947,2.2,-3.4,2.2,1.7501499999999555,-2.5925499999999806,1.8423999999999494,0.3741657386773941,0.38519024469043806,0.7751440414529955,0.8242180716093769,0.002683675195570811,0.0010103138203841273,0.00116820446499462,0.001186171113286717,1.796664829209699e-05,1.818723022205303e-05,3.338495462528075e-05,3.360553655523679e-05,1.9,-3.2,2.3
0.01,0.001,0.9,42,True,2767,1628,0.2,-2.7,3.5,1.8311999999999622,-2.041049999999992,1.2098499999999925,2.1400934559032696,2.1111787391838486,1.5925845550550968,1.6459127886342542,0.0018999682225083608,0.0008533276743673027,0.0006199767109574066,0.001186171113286717,0.0005661944023293104,0.0005664149842592664,0.0001391236744780679,0.00013934425640802395,1.9,-3.2,2.3
0.01,0.001,0.9,123,True,2820,2571,1.6,-3.5,2.9,0.6921999999999962,0.03725000000000314,0.270549999999991,0.7348469228349533,0.6793076140329071,4.007148076250748,4.051254307018258,0.0026251698467671786,0.0009853054959974988,0.0011472116027709304,0.001186171113286717,3.895951051578663e-05,3.918009244574267e-05,0.0008475418361900678,0.0008477624181200238,1.9,-3.2,2.3
0.01,0.001,0.9,1024,True,2887,2870,2.0,1.0,-2.0,0.881450000000012,-1.5276500000000064,1.6462000000000288,6.0116553460756545,6.066221556797959,2.064377161518679,2.097558870911282,0.00013850708636651697,0.0006086581367774343,-0.0007744801187996345,0.001186171113286717,0.0019606512320863518,0.001960871814016308,0.00027575579369655697,0.000275976375626513,1.9,-3.2,2.3
0.01,0.002,0.9,42,True,1504,3194,2.6,-1.7,0.1,0.6973404255319112,0.3121010638297861,-0.009441489361705881,2.753179979587241,2.810108224926596,4.372043449852631,4.417345181372783,0.0017921701149194648,0.0007641509610650201,0.0006459436733219346,0.001186171113286717,0.0005402274399647824,0.0005404480218947384,0.0009925582388079436,0.0009927788207378997,1.9,-3.2,2.3
0.01,0.002,0.9,123,True,1640,2829,2.0,-3.1,2.1,1.4987195121951356,-1.0843902439024233,0.585670731707314,0.24494897427831766,0.30083489080600495,2.752409037572921,2.8027578254045653,0.0024742736888565863,0.0008634435964646835,0.001179108294159561,0.001186171113286717,7.062819127156032e-06,7.283401057112072e-06,0.0003889433175535117,0.00038916389948346773,1.9,-3.2,2.3
0.01,0.002,0.9,1024,True,1217,1332,-0.3,-1.8,3.1,0.047904683648312,-0.9414954806902104,1.8935907970418806,2.727636339397171,2.719447809339023,2.948943567592242,2.970653512991886,0.001291009580021943,0.0006443500307929376,0.00032448453383253676,0.001186171113286717,0.0008616865794541802,0.0008619071613841363,0.000693311465621071,0.0006935320475510271,1.9,-3.2,2.3
0.02,0.0005,0.9,42,True,4901,2956,2.2,-2.5,1.3,0.7919500000000185,-2.347499999999996,2.5555500000000744,1.2569805089976536,1.3139041952906567,1.4212096449855678,1.42182060299443,0.002170945941365674,0.000733672868594436,0.0010704366384740199,0.001186171113286717,0.00011573447481269712,0.00011595505674265316,0.00021491826855957424,0.00021513885048953028,1.9,-3.2,2.3
0.02,0.0005,0.9,123,True,4546,3290,2.8,-3.0,1.2,2.0686500000000545,-2.1136,1.044950000000023,1.4352700094407322,1.4836694773406174,1.6684898216650772,1.7244617203086006,0.0025712707929727305,0.0010821191768999147,0.0009480920276228584,0.001186171113286717,0.00023807908566385858,0.00023829966759381462,0.0001712403655259201,0.00017146094745587614,1.9,-3.2,2.3
0.02,0.0005,0.9,1024,True,5554,1760,0.4,-2.4,3.0,1.567149999999974,-2.523649999999985,1.9564999999999488,1.8384776310850237,1.8239866689184243,0.8283904242566261,0.86801370286562,0.0017675502264191604,0.0006571468408836967,0.0007818299650936154,0.001186171113286717,0.00040434114819310157,0.0004045617301230576,4.1083781588229385e-05,4.1304363518185425e-05,1.9,-3.2,2.3
0.02,0.001,0.9,42,True,2875,3313,2.8,-0.7,-1.1,1.8613499999999619,-2.248800000000011,1.387450000000009,4.315089802078283,4.371941450091797,1.3187201238321822,1.3723973266976945,0.0012609626988929357,0.0008746697006295945,-5.104185205145602e-05,0.001186171113286717,0.001237212965338173,0.001237433547268129,9.757393819308322e-05,9.779452012303926e-05,1.9,-3.2,2.3
0.02,0.001,0.9,123,True,2820,962,-1.0,-0.3,2.3,0.9172499999999976,-0.24680000000000143,0.329549999999988,4.101219330881976,4.113616184920902,3.683729225255304,3.729422261018206,0.0003017396794195887,0.00044782007975381345,-0.0003699904402111315,0.001186171113286717,0.0015561615534978486,0.0015563821354278046,0.0007040863475869363,0.0007043069295168923,1.9,-3.2,2.3
0.02,0.001,0.9,1024,True,2887,2663,1.7,-0.8,0.1,1.3513999999999877,0.28965000000000524,-0.6410500000000157,3.2619012860600183,3.3147107508873783,4.5965633015330205,4.647704681327403,0.001106227961808023,0.00031873521868487913,0.0006281251337807043,0.001186171113286717,0.0005580459795060127,0.0005582665614359688,0.0010742300285448395,0.0010744506104747955,1.9,-3.2,2.3
0.02,0.002,0.9,42,True,1853,3454,3.1,-2.2,0.1,0.8493793847814283,0.0868861305990306,0.06373448461952987,2.698147512646408,2.7531270804700854,4.111971250863313,4.1581359787504395,0.002173249088870266,0.0010984214661644773,0.0005256168896235502,0.001186171113286717,0.0006605542236631668,0.0006607748055931228,0.0008711492222598683,0.0008713698041898243,1.9,-3.2,2.3
